PROGRAM,START DATE,START TIME,END DATE,END TIME,LANGUAGE,SYNOPSIS
Morning glory,01/07/2024,03:00,01/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,01/07/2024,06:00,01/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,01/07/2024,09:00,01/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,01/07/2024,09:30,01/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,01/07/2024,10:00,01/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,01/07/2024,12:00,01/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,01/07/2024,14:00,01/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,01/07/2024,14:30,01/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,01/07/2024,16:00,01/07/2024,18:00,"English, Luganda",Peace  tv show
News,01/07/2024,18:00,01/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,01/07/2024,18:30,01/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,01/07/2024,19:30,02/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,02/07/2024,03:00,02/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,02/07/2024,06:00,02/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,02/07/2024,09:00,02/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,02/07/2024,09:30,02/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,02/07/2024,10:00,02/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Prophecy Confirmation,02/07/2024,12:00,02/07/2024,14:00,"English, Luganda",Prophecy
Movie,02/07/2024,14:00,02/07/2024,14:30,"English, Luganda",Block busters movie
Praise experience,02/07/2024,14:30,02/07/2024,16:00,"English, Luganda",Praise and worship show
Cartoon,02/07/2024,16:00,02/07/2024,18:00,"English, Luganda",Kids Entertainment
Peace centre,02/07/2024,18:00,02/07/2024,18:30,"English, Luganda",Peace  tv show
News,02/07/2024,18:30,02/07/2024,19:30,"English, Luganda",News bulletin
Food for the soul,02/07/2024,19:30,03/07/2024,03:00,"English, Luganda",Spiritual tv show
Movie,03/07/2024,03:00,03/07/2024,06:00,"English, Luganda",Block busters movie
We give glory,03/07/2024,06:00,03/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,03/07/2024,09:00,03/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,03/07/2024,09:30,03/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,03/07/2024,10:00,03/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,03/07/2024,12:00,03/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,03/07/2024,14:00,03/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,03/07/2024,14:30,03/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,03/07/2024,16:00,03/07/2024,18:00,"English, Luganda",Peace  tv show
News,03/07/2024,18:00,03/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,03/07/2024,18:30,03/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,03/07/2024,19:30,04/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,04/07/2024,03:00,04/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,04/07/2024,06:00,04/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,04/07/2024,09:00,04/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,04/07/2024,09:30,04/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,04/07/2024,10:00,04/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,04/07/2024,12:00,04/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,04/07/2024,14:00,04/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,04/07/2024,14:30,04/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,04/07/2024,16:00,04/07/2024,18:00,"English, Luganda",Peace  tv show
News,04/07/2024,18:00,04/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,04/07/2024,18:30,04/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,04/07/2024,19:30,05/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,05/07/2024,03:00,05/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,05/07/2024,06:00,05/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,05/07/2024,09:00,05/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,05/07/2024,09:30,05/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,05/07/2024,10:00,05/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,05/07/2024,12:00,05/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,05/07/2024,14:00,05/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,05/07/2024,14:30,05/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,05/07/2024,16:00,05/07/2024,18:00,"English, Luganda",Peace  tv show
News,05/07/2024,18:00,05/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,05/07/2024,18:30,05/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,05/07/2024,19:30,06/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,06/07/2024,03:00,06/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,06/07/2024,06:00,06/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,06/07/2024,09:00,06/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,06/07/2024,09:30,06/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,06/07/2024,10:00,06/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,06/07/2024,12:00,06/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,06/07/2024,14:00,06/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,06/07/2024,14:30,06/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,06/07/2024,16:00,06/07/2024,18:00,"English, Luganda",Peace  tv show
News,06/07/2024,18:00,06/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,06/07/2024,18:30,06/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,06/07/2024,19:30,07/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,07/07/2024,03:00,07/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,07/07/2024,06:00,07/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,07/07/2024,09:00,07/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,07/07/2024,09:30,07/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,07/07/2024,10:00,07/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,07/07/2024,12:00,07/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,07/07/2024,14:00,07/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,07/07/2024,14:30,07/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,07/07/2024,16:00,07/07/2024,18:00,"English, Luganda",Peace  tv show
News,07/07/2024,18:00,07/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,07/07/2024,18:30,07/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,07/07/2024,19:30,08/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,08/07/2024,03:00,08/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,08/07/2024,06:00,08/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,08/07/2024,09:00,08/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,08/07/2024,09:30,08/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,08/07/2024,10:00,08/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,08/07/2024,12:00,08/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,08/07/2024,14:00,08/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,08/07/2024,14:30,08/07/2024,16:00,"English, Luganda",Kids Entertainment
